Uuid,Attribute|54686249-2c26-4dd9-be90-fc7868dedd8f,Name,Attribute|d4e54a2f-39bf-4b0a-8000-f2048eddbe12,Description,Attribute|f369dbaa-3a0a-416e-97d1-cac1a230824f,County/District,State/Province,Address 4,Void/Retire,_order:1000,Unnamed: 11
c0ee0837-8871-4414-8562-a58aceb8adbb,1096669,Andinet Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Ilu Aba Bora Zone,Sele Nono,,,
c2556860-6724-405f-a274-1836bdfd51bf,1101708,Andinet Medium Clinic ,Operational,Medium Clinic,Clinic,Central Ethiopia Region,Hadiya Zone,Gombora woreda,,,
2fef637f-6d83-4938-9803-309306b23bfa,1082618,Andinet Midium Clinic,Operational,Medium Clinic,Clinic,Amhara Region,West Gojam Zone,Finote Selam Town,,,
5005c032-7789-4aa2-b976-367bcef7db35,1041115,Andinet primary clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Wolaita zone,Tebela town,,,
1c9220f3-d130-4d52-ae8f-477c098bbe00,1001881,Andinet Primary Clinic,Operational,Primary Clinic,Clinic,Addis Ababa City Administration,Addis Ketema Sub City,Woreda 6,,,
e09a7375-e07c-4c5b-89b5-1c61abb3ca8c,1035207,Andinet Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Robe,,,
8176a65a-ab53-4fc8-ac9f-0d060e207a78,1045138,Andinet Primary Clinic,Operational,Primary Clinic,Clinic,Sidama Region,Southern Zone,Bursa Woreda,,,
abbc0668-e295-4fd6-9fbf-4d12b6983a0f,1087306,Andinet Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Wolaita zone,Damot woyde,,,
5d474fd1-2c95-4e4e-a767-d397d692e6d3,1100582,Andinet Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,Awi Zone,Dangla Zuria,,,
fc491592-3e6b-4e71-94b9-ee5717b5699f,1081301,Andinet Primary Clinic ,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Sheka Zone,Yeki Woreda,,,
60fabe4f-e6e1-46d3-aa32-690f3e29ebe8,1048744,Andint Primary Clinic,Operational,Primary Clinic,Clinic,Gambella Region,Agniwa zone,Dimma,,,
07d73dca-b9b0-45ac-a726-5ab89f42ff76,1083132,Andiro Dental Medium Clinic,Operational,Dental Medium Clinic,Specialty Clinic,South West Ethiopia Region,Kaffa Zone,Bonga Town,,,
952acc5c-0749-4f05-ac81-9d6f08e545e3,1077722,Andnet medium clinic,Operational,Medium Clinic,Clinic,Amhara Region,West Gojam Zone,,,,
d785a5e6-3839-4eba-9fc7-7a8d38c6bd89,1099172,Andode Dicho Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Wollega Zone,Gida Ayana,,,
56f9c0c2-4e35-47fa-9a68-ca9805991b97,1075268,Andolem Medium Clinic,Operational,Medium Clinic,Clinic,Amhara Region,South Wollo Zone,Tenta,,,
64eb0a68-0e25-454f-ae0e-27ef13c8e159,1035825,Andualem And Gashawu primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Ziway Dugda,,,
6b09bcdb-eea9-46a5-9a06-e48a1a596d46,1029803,Andualem Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Kolfe Sub city,Woreda 4,,,
a8fe309c-b6a5-45af-b8db-93f6537a9688,1086933,Andualem Medium Clinic,Operational,Medium Clinic,Clinic,South Ethiopia Region,gofa zone,Laha town,,,
